"BranchID","BranchName","DeptID","DeptName","CategoryID","CategoryName","Qty","NetSales","Cost","GM$","GM%","TranDate_DDMMYYYY"
517,Maxval-u Supermart - Flagstaff,"58",Food,"5801",Speciality Food,"2.0000","25.5963","19.1960","6.4003","25.0000","07/01/2022"
542,Maxval-u Supermart - Premium Savusavu,"60",Beverages,"6004",Beverage - Cold,"160.0000","309.0368","260.4550","48.5818","15.7200","07/01/2022"
532,Maxval-u Supermart - Tavua,"60",Beverages,"6004",Beverage - Cold,"270.0000","462.4680","420.8990","41.5690","8.9800","06/01/2022"
581,Maxval-u Supermart - Valelevu,"60",Beverages,"6001",Beverage Hot - Tea,"118.0000","219.7707","194.5960","25.1747","11.4500","07/01/2022"
564,Maxval-u Supermart - Lami,"58",Food,"5801",Speciality Food,"1.0000","23.8073","18.2000","5.6073","23.5500","05/01/2022"
564,Maxval-u Supermart - Lami,"60",Beverages,"6004",Beverage - Cold,"363.0000","796.5505","695.4220","101.1285","12.6900","06/01/2022"
532,Maxval-u Supermart - Tavua,"58",Food,"5801",Speciality Food,"3.0000","2.7523","1.6590","1.0933","39.7200","06/01/2022"
523,Maxval-u Supermart - Sigatoka,"64",Meat,"6409",Seafood,"1.5200","12.4771","10.5430","1.9341","15.5000","04/01/2022"
524,Maxval-u Supermart - Namaka,"58",Food,"5801",Speciality Food,"3.0000","20.1376","14.8670","5.2706","26.1700","07/01/2022"
581,Maxval-u Supermart - Valelevu,"60",Beverages,"6001",Beverage Hot - Tea,"91.0000","194.5322","168.2880","26.2442","13.4900","06/01/2022"
581,Maxval-u Supermart - Valelevu,"58",Food,"5803",Canned Fruits,"63.0000","125.8715","87.1240","38.7475","30.7800","01/01/2022"
512,Maxval-u Supermart - City Homemaker,"58",Food,"5823",Spread,"76.0000","283.3487","198.4570","84.8917","29.9600","07/01/2022"
521,Maxval-u Supermart - Hypermarket,"60",Beverages,"6001",Beverage Hot - Tea,"132.0000","197.0091","176.8330","20.1761","10.2400","01/01/2022"
531,Maxval-u Supermart - Ba,"58",Food,"5822",Cheese,"4.0000","29.1743","23.9160","5.2583","18.0200","01/01/2022"
542,Maxval-u Supermart - Premium Savusavu,"29",School & Office,"2911",Modems,"1.0000","1.0550","0.7500","0.3050","28.9000","02/01/2022"
521,Maxval-u Supermart - Hypermarket,"60",Beverages,"6001",Beverage Hot - Tea,"71.0000","130.6791","111.4840","19.1951","14.6800","07/01/2022"
531,Maxval-u Supermart - Ba,"58",Food,"5803",Canned Fruits,"27.0000","51.2385","34.0010","17.2375","33.6400","02/01/2022"
564,Maxval-u Supermart - Lami,"60",Beverages,"6004",Beverage - Cold,"778.0000","1219.3579","1170.4220","48.9359","4.0100","01/01/2022"
530,Maxval-u Nadi Lodhia,"58",Food,"5823",Spread,"27.0000","116.6057","75.8150","40.7907","34.9800","05/01/2022"
523,Maxval-u Supermart - Sigatoka,"58",Food,"5838",Snacks And Savouries,"729.0000","574.6330","422.6530","151.9800","26.4400","06/01/2022"
542,Maxval-u Supermart - Premium Savusavu,"58",Food,"5801",Speciality Food,"1.0000","2.7523","1.6500","1.1023","40.0500","04/01/2022"
561,Maxval-u Supermart - Naulu,"61",Supermarket (Non-Food),"6104",Disposable Products,"17.0000","32.8441","22.5080","10.3361","31.4700","07/01/2022"
531,Maxval-u Supermart - Ba,"58",Food,"5803",Canned Fruits,"50.0000","98.4219","66.8650","31.5569","32.0600","01/01/2022"
513,Maxval-u Nausori,"60",Beverages,"6004",Beverage - Cold,"792.0000","1438.3488","1239.2810","199.0678","13.8400","05/01/2022"
514,MHCC Level 1 Supermarket,"58",Food,"5803",Canned Fruits,"3.0000","7.7798","4.8150","2.9648","38.1000","06/01/2022"
513,Maxval-u Nausori,"58",Food,"5838",Snacks And Savouries,"1133.0000","857.3671","615.4590","241.9081","28.2100","04/01/2022"
551,MH  Superfresh,"61",Supermarket (Non-Food),"6104",Disposable Products,"15.0000","47.9633","33.6700","14.2933","29.8000","03/01/2022"
512,Maxval-u Supermart - City Homemaker,"47",Handiman,"4701",Outdoor  Power Tools,"2.0000","6.3303","4.3500","1.9803","31.2800","04/01/2022"
564,Maxval-u Supermart - Lami,"60",Beverages,"6004",Beverage - Cold,"431.0000","625.5966","549.8720","75.7246","12.1000","07/01/2022"
513,Maxval-u Nausori,"58",Food,"5822",Cheese,"3.0000","21.8807","17.7540","4.1267","18.8500","06/01/2022"
521,Maxval-u Supermart - Hypermarket,"58",Food,"5803",Canned Fruits,"30.0000","71.8348","48.8850","22.9498","31.9400","01/01/2022"
517,Maxval-u Supermart - Flagstaff,"60",Beverages,"6001",Beverage Hot - Tea,"36.0000","76.7339","62.3190","14.4149","18.7800","06/01/2022"
545,Maxval-u Supermart - Labasa Town,"60",Beverages,"6004",Beverage - Cold,"242.0000","418.4862","374.0640","44.4222","10.6100","06/01/2022"
551,MH  Superfresh,"58",Food,"5853",Coconut Cream,"9.0000","35.0917","19.2510","15.8407","45.1400","07/01/2022"
531,Maxval-u Supermart - Ba,"60",Beverages,"6001",Beverage Hot - Tea,"98.0000","164.5963","151.4420","13.1543","7.9900","06/01/2022"
530,Maxval-u Nadi Lodhia,"58",Food,"5803",Canned Fruits,"12.0000","25.5047","19.8870","5.6177","22.0200","07/01/2022"
542,Maxval-u Supermart - Premium Savusavu,"58",Food,"5838",Snacks And Savouries,"62.0000","125.9262","91.9410","33.9852","26.9800","05/01/2022"
551,MH  Superfresh,"29",School & Office,"2906",Colouring & Art Materials,"6.0000","28.5780","20.6400","7.9380","27.7700","02/01/2022"
532,Maxval-u Supermart - Tavua,"58",Food,"5853",Coconut Cream,"5.0000","15.0918","9.2690","5.8228","38.5800","06/01/2022"
